tx	gene_id	USA500_NRS385_Biofilm_10h_1	USA500_NRS385_Biofilm_10h_2	USA500_NRS385_Biofilm_10h_3	USA500_NRS385_Biofilm_10h_4	USA500_NRS385_Biofilm_24h_1	USA500_NRS385_Biofilm_24h_2	USA500_NRS385_Biofilm_24h_3	USA500_NRS385_Biofilm_24h_4	USA500_NRS385_Biofilm_24h_5	USA500_NRS385_Biofilm_24h_6	USA500_NRS385_Biofilm_24h_7	USA500_NRS385_Biofilm_24h_8	USA500_NRS385_Biofilm_5h_1	USA500_NRS385_Biofilm_5h_2	USA500_NRS385_Biofilm_5h_3	USA500_NRS385_Biofilm_5h_4	USA500_NRS385_Planktonic_10h_1	USA500_NRS385_Planktonic_10h_2	USA500_NRS385_Planktonic_10h_3	USA500_NRS385_Planktonic_10h_4	USA500_NRS385_Planktonic_24h_1	USA500_NRS385_Planktonic_24h_2	USA500_NRS385_Planktonic_24h_3	USA500_NRS385_Planktonic_24h_4	USA500_NRS385_Planktonic_24h_5	USA500_NRS385_Planktonic_24h_6	USA500_NRS385_Planktonic_24h_7	USA500_NRS385_Planktonic_24h_8	USA500_NRS385_Planktonic_5h_1	USA500_NRS385_Planktonic_5h_2	USA500_NRS385_Planktonic_5h_3	USA500_NRS385_Planktonic_5h_4
unassigned_transcript_11	SAUSA300_RS00060	167.44	167.139	167.815	166.632	170.855	170.56	170.419	170.864	170.943	171.07	170.968	170.66	167.903	167.649	168.229	167.848	167.549	167.95	166.771	167.315	169.711	169.465	169.054	169.42	169.492	169.856	169.418	169.183	140.056	140.223	139.898	139.651
unassigned_transcript_12	SAUSA300_RS00065	803.98	803.757	804.627	802.919	806.554	806.255	805.836	806.42	806.443	806.594	806.571	806.138	804.151	803.922	804.766	804.319	803.617	804.356	802.583	803.549	805.224	804.802	804.499	804.725	804.825	805.523	804.757	804.461	767.827	768.454	767.378	766.747
unassigned_transcript_13	SAUSA300_RS00070	773.98	773.757	774.627	772.919	776.554	776.255	775.836	776.42	776.443	776.594	776.571	776.138	774.151	773.922	774.766	774.319	773.617	774.356	772.583	773.549	775.224	774.802	774.499	774.725	774.825	775.523	774.757	774.461	737.827	738.454	737.378	736.747
unassigned_transcript_14	SAUSA300_RS00075	1802.98	1802.757	1803.627	1801.919	1805.554	1805.255	1804.836	1805.42	1805.443	1805.594	1805.571	1805.138	1803.151	1802.922	1803.766	1803.319	1802.617	1803.356	1801.583	1802.549	1804.224	1803.802	1803.499	1803.725	1803.825	1804.523	1803.757	1803.461	1766.827	1767.454	1766.378	1765.747
unassigned_transcript_15	SAUSA300_RS00080	282.095	281.851	282.703	281.036	284.782	284.523	284.131	284.658	284.648	284.86	284.825	284.463	282.356	282.135	282.927	282.514	281.779	282.463	280.764	281.662	283.457	283.112	282.791	283.009	283.117	283.803	283.065	282.758	247.142	247.64	246.783	246.222
unassigned_transcript_16	SAUSA300_RS00085	1235.98	1235.757	1236.627	1234.919	1238.554	1238.255	1237.836	1238.42	1238.443	1238.594	1238.571	1238.138	1236.151	1235.922	1236.766	1236.319	1235.617	1236.356	1234.583	1235.549	1237.224	1236.802	1236.499	1236.725	1236.825	1237.523	1236.757	1236.461	1199.827	1200.454	1199.378	1198.747
unassigned_transcript_17	SAUSA300_RS00090	1118.98	1118.757	1119.627	1117.919	1121.554	1121.255	1120.836	1121.42	1121.443	1121.594	1121.571	1121.138	1119.151	1118.922	1119.766	1119.319	1118.617	1119.356	1117.583	1118.549	1120.224	1119.802	1119.499	1119.725	1119.825	1120.523	1119.757	1119.461	1082.827	1083.454	1082.378	1081.747
unassigned_transcript_18	SAUSA300_RS00095	7.094	7.025	7.159	7.025	9.135	8.127	8.171	7.758	8.594	8.155	8.134	7.82	8.189	8.111	8.332	8.211	6.882	7.26	7.48	7.005	7.339	7.218	7.638	7.208	7.692	7.436	7.721	6.986	6.444	7.345	6.543	6.352
unassigned_transcript_19	SAUSA300_RS00100	6.918	7.047	6.985	6.817	9.264	8.289	8.32	8.05	8.849	8.245	8.405	8.031	8.123	7.773	7.955	8.022	6.702	7.103	7.439	7.149	7.406	7.133	7.551	7.157	7.761	7.626	7.672	6.924	6.31	7.543	6.72	5.817
unassigned_transcript_20	SAUSA300_RS00105	536.98	536.757	537.627	535.919	539.554	539.255	538.836	539.42	539.443	539.594	539.571	539.138	537.151	536.922	537.766	537.319	536.617	537.356	535.583	536.549	538.224	537.802	537.499	537.725	537.825	538.523	537.757	537.461	500.827	501.454	500.378	499.747
unassigned_transcript_21	SAUSA300_RS00110	1661.98	1661.757	1662.627	1660.919	1664.554	1664.255	1663.836	1664.42	1664.443	1664.594	1664.571	1664.138	1662.151	1661.922	1662.766	1662.319	1661.617	1662.356	1660.583	1661.549	1663.224	1662.802	1662.499	1662.725	1662.825	1663.523	1662.757	1662.461	1625.827	1626.454	1625.378	1624.747
unassigned_transcript_22	SAUSA300_RS00115	1169.98	1169.757	1170.627	1168.919	1172.554	1172.255	1171.836	1172.42	1172.443	1172.594	1172.571	1172.138	1170.151	1169.922	1170.766	1170.319	1169.617	1170.356	1168.583	1169.549	1171.224	1170.802	1170.499	1170.725	1170.825	1171.523	1170.757	1170.461	1133.827	1134.454	1133.378	1132.747
unassigned_transcript_23	SAUSA300_RS00120	623.98	623.757	624.627	622.919	626.554	626.255	625.836	626.42	626.443	626.594	626.571	626.138	624.151	623.922	624.766	624.319	623.617	624.356	622.583	623.549	625.224	624.802	624.499	624.725	624.825	625.523	624.757	624.461	587.827	588.454	587.378	586.747
unassigned_transcript_24	SAUSA300_RS00125	635.98	635.757	636.627	634.919	638.554	638.255	637.836	638.42	638.443	638.594	638.571	638.138	636.151	635.922	636.766	636.319	635.617	636.356	634.583	635.549	637.224	636.802	636.499	636.725	636.825	637.523	636.757	636.461	599.827	600.454	599.378	598.747
unassigned_transcript_25	SAUSA300_RS00130	2153.98	2153.757	2154.627	2152.919	2156.554	2156.255	2155.836	2156.42	2156.443	2156.594	2156.571	2156.138	2154.151	2153.922	2154.766	2154.319	2153.617	2154.356	2152.583	2153.549	2155.224	2154.802	2154.499	2154.725	2154.825	2155.523	2154.757	2154.461	2117.827	2118.454	2117.378	2116.747
unassigned_transcript_26	SAUSA300_RS00135	315.008	314.779	315.64	313.941	317.619	317.34	316.896	317.494	317.501	317.67	317.636	317.223	315.202	314.983	315.806	315.362	314.651	315.391	313.619	314.573	316.283	315.901	315.576	315.801	315.917	316.602	315.829	315.535	279.213	279.752	278.785	278.2
unassigned_transcript_27	SAUSA300_RS00140	1091.98	1091.757	1092.627	1090.919	1094.554	1094.255	1093.836	1094.42	1094.443	1094.594	1094.571	1094.138	1092.151	1091.922	1092.766	1092.319	1091.617	1092.356	1090.583	1091.549	1093.224	1092.802	1092.499	1092.725	1092.825	1093.523	1092.757	1092.461	1055.827	1056.454	1055.378	1054.747
unassigned_transcript_28	SAUSA300_RS00145	509.98	509.757	510.627	508.919	512.554	512.255	511.836	512.42	512.443	512.594	512.571	512.138	510.151	509.922	510.766	510.319	509.617	510.356	508.583	509.549	511.224	510.802	510.499	510.725	510.825	511.523	510.757	510.461	473.827	474.454	473.378	472.747
unassigned_transcript_29	SAUSA300_RS14955	225.603	225.287	226.107	224.579	228.572	228.259	228.021	228.457	228.514	228.698	228.625	228.293	226.079	225.795	226.518	226.137	225.396	225.976	224.486	225.241	227.311	227.011	226.688	226.9	226.974	227.578	227.014	226.717	193.258	193.682	193.047	192.649
unassigned_transcript_30	SAUSA300_RS00155	578.98	578.757	579.627	577.919	581.554	581.255	580.836	581.42	581.443	581.594	581.571	581.138	579.151	578.922	579.766	579.319	578.617	579.356	577.583	578.549	580.224	579.802	579.499	579.725	579.825	580.523	579.757	579.461	542.827	543.454	542.378	541.747
unassigned_transcript_31	SAUSA300_RS00160	264.182	263.927	264.769	263.122	266.952	266.677	266.3	266.826	266.811	267.02	266.993	266.668	264.533	264.267	265.071	264.639	263.906	264.562	262.89	263.783	265.615	265.271	265.011	265.192	265.31	265.945	265.267	264.987	229.863	230.322	229.586	229.033
unassigned_transcript_32	SAUSA300_RS00165	1844.98	1844.757	1845.627	1843.919	1847.554	1847.255	1846.836	1847.42	1847.443	1847.594	1847.571	1847.138	1845.151	1844.922	1845.766	1845.319	1844.617	1845.356	1843.583	1844.549	1846.224	1845.802	1845.499	1845.725	1845.825	1846.523	1845.757	1845.461	1808.827	1809.454	1808.378	1807.747
unassigned_transcript_33	SAUSA300_RS00170	821.98	821.757	822.627	820.919	824.554	824.255	823.836	824.42	824.443	824.594	824.571	824.138	822.151	821.922	822.766	822.319	821.617	822.356	820.583	821.549	823.224	822.802	822.499	822.725	822.825	823.523	822.757	822.461	785.827	786.454	785.378	784.747
unassigned_transcript_34	SAUSA300_RS00175	90.103	89.957	90.26	89.719	93.937	93.591	93.665	93.772	93.964	94.06	93.814	93.805	89.433	89.139	89.601	89.296	90.636	90.884	90.189	90.514	92.279	92.1	91.955	91.995	92.199	92.26	92.097	92.078	73.021	73.173	73.108	72.978
unassigned_transcript_35	SAUSA300_RS00180	1445.98	1445.757	1446.627	1444.919	1448.554	1448.255	1447.836	1448.42	1448.443	1448.594	1448.571	1448.138	1446.151	1445.922	1446.766	1446.319	1445.617	1446.356	1444.583	1445.549	1447.224	1446.802	1446.499	1446.725	1446.825	1447.523	1446.757	1446.461	1409.827	1410.454	1409.378	1408.747
unassigned_transcript_36	SAUSA300_RS00185	341.98	341.757	342.627	340.919	344.554	344.255	343.836	344.42	344.443	344.594	344.571	344.138	342.151	341.922	342.766	342.319	341.617	342.356	340.583	341.549	343.224	342.802	342.499	342.725	342.825	343.523	342.757	342.461	305.827	306.454	305.378	304.747
unassigned_transcript_37	SAUSA300_RS00190	150.576	150.28	150.913	149.829	154.167	153.848	153.733	154.165	154.231	154.374	154.225	153.972	150.887	150.642	151.189	150.838	150.695	151.113	150.009	150.523	152.984	152.706	152.422	152.643	152.742	153.063	152.644	152.493	125.116	125.176	124.835	124.728
unassigned_transcript_38	SAUSA300_RS00195	187.528	187.233	187.955	186.647	190.789	190.523	190.266	190.754	190.845	190.94	190.876	190.545	188.073	187.773	188.436	188.007	187.508	187.97	186.695	187.312	189.607	189.37	188.967	189.257	189.334	189.801	189.312	189.02	158.185	158.375	158.044	157.603
unassigned_transcript_39	SAUSA300_RS00200	1463.98	1463.757	1464.627	1462.919	1466.554	1466.255	1465.836	1466.42	1466.443	1466.594	1466.571	1466.138	1464.151	1463.922	1464.766	1464.319	1463.617	1464.356	1462.583	1463.549	1465.224	1464.802	1464.499	1464.725	1464.825	1465.523	1464.757	1464.461	1427.827	1428.454	1427.378	1426.747
unassigned_transcript_40	SAUSA300_RS00205	1184.98	1184.757	1185.627	1183.919	1187.554	1187.255	1186.836	1187.42	1187.443	1187.594	1187.571	1187.138	1185.151	1184.922	1185.766	1185.319	1184.617	1185.356	1183.583	1184.549	1186.224	1185.802	1185.499	1185.725	1185.825	1186.523	1185.757	1185.461	1148.827	1149.454	1148.378	1147.747
unassigned_transcript_41	SAUSA300_RS00210	1622.98	1622.757	1623.627	1621.919	1625.554	1625.255	1624.836	1625.42	1625.443	1625.594	1625.571	1625.138	1623.151	1622.922	1623.766	1623.319	1622.617	1623.356	1621.583	1622.549	1624.224	1623.802	1623.499	1623.725	1623.825	1624.523	1623.757	1623.461	1586.827	1587.454	1586.378	1585.747
unassigned_transcript_42	SAUSA300_RS00215	131.281	131.103	131.55	130.737	135.142	134.892	134.739	135.107	135.203	135.355	135.208	135.034	131.487	131.171	131.709	131.381	131.632	131.955	130.941	131.416	133.798	133.602	133.33	133.449	133.603	133.905	133.518	133.359	108.333	108.382	108.192	107.94
unassigned_transcript_43	SAUSA300_RS00220	884.98	884.757	885.627	883.919	887.554	887.255	886.836	887.42	887.443	887.594	887.571	887.138	885.151	884.922	885.766	885.319	884.617	885.356	883.583	884.549	886.224	885.802	885.499	885.725	885.825	886.523	885.757	885.461	848.827	849.454	848.378	847.747
unassigned_transcript_44	SAUSA300_RS00225	1325.98	1325.757	1326.627	1324.919	1328.554	1328.255	1327.836	1328.42	1328.443	1328.594	1328.571	1328.138	1326.151	1325.922	1326.766	1326.319	1325.617	1326.356	1324.583	1325.549	1327.224	1326.802	1326.499	1326.725	1326.825	1327.523	1326.757	1326.461	1289.827	1290.454	1289.378	1288.747
unassigned_transcript_45	SAUSA300_RS00235	1153.98	1153.757	1154.627	1152.919	1156.554	1156.255	1155.836	1156.42	1156.443	1156.594	1156.571	1156.138	1154.151	1153.922	1154.766	1154.319	1153.617	1154.356	1152.583	1153.549	1155.224	1154.802	1154.499	1154.725	1154.825	1155.523	1154.757	1154.461	1117.827	1118.454	1117.378	1116.747
unassigned_transcript_46	SAUSA300_RS15865	22.642	22.638	22.752	22.544	22.826	22.69	22.706	22.79	22.846	22.86	22.732	22.75	20.414	20.288	20.445	20.376	22.066	22.176	22.034	22.221	21.949	21.894	21.858	21.745	21.898	21.955	21.793	21.867	17.127	17.192	17.088	17.123
unassigned_transcript_47	SAUSA300_RS00240	207.927	207.609	208.409	207.004	211.044	210.747	210.489	210.932	211.014	211.192	211.083	210.751	208.459	208.174	208.868	208.471	207.834	208.381	206.956	207.63	209.832	209.539	209.174	209.456	209.479	210.062	209.502	209.213	176.899	177.193	176.713	176.238
unassigned_transcript_48	SAUSA300_RS00245	455.98	455.757	456.627	454.919	458.554	458.255	457.836	458.42	458.443	458.594	458.571	458.138	456.151	455.922	456.766	456.319	455.617	456.356	454.583	455.549	457.224	456.802	456.499	456.725	456.825	457.523	456.757	456.461	419.827	420.454	419.378	418.747
unassigned_transcript_49	SAUSA300_RS14965	50.54	50.348	50.579	50.241	52.971	52.787	52.779	52.905	52.992	53.086	52.816	52.979	48.624	48.446	48.734	48.512	50.93	51.108	50.688	50.983	51.416	51.285	51.276	51.272	51.403	51.506	51.307	51.427	40.151	40.322	40.286	40.212
unassigned_transcript_50	SAUSA300_RS15870	39.533	39.378	39.556	39.299	41.175	40.958	41.034	41.091	41.102	41.216	41.054	41.08	37.266	37.113	37.366	37.119	39.548	39.784	39.44	39.693	39.782	39.664	39.675	39.593	39.736	39.834	39.742	39.79	31.045	31.155	31.047	31.072
unassigned_transcript_51	SAUSA300_RS00250	800.98	800.757	801.627	799.919	803.554	803.255	802.836	803.42	803.443	803.594	803.571	803.138	801.151	800.922	801.766	801.319	800.617	801.356	799.583	800.549	802.224	801.802	801.499	801.725	801.825	802.523	801.757	801.461	764.827	765.454	764.378	763.747
unassigned_transcript_52	SAUSA300_RS00255	52.467	52.29	52.541	52.17	55.035	54.844	54.868	54.978	55.06	55.19	54.87	55.029	50.607	50.434	50.721	50.517	52.95	53.127	52.686	52.994	53.483	53.34	53.324	53.335	53.458	53.537	53.375	53.492	41.798	41.929	41.912	41.82
unassigned_transcript_53	SAUSA300_RS00260	167.44	167.139	167.815	166.632	170.855	170.56	170.419	170.864	170.943	171.07	170.968	170.66	167.903	167.649	168.229	167.848	167.549	167.95	166.771	167.315	169.711	169.465	169.054	169.42	169.492	169.856	169.418	169.183	140.056	140.223	139.898	139.651
unassigned_transcript_54	SAUSA300_RS00265	196.239	195.944	196.677	195.347	199.428	199.172	198.889	199.355	199.459	199.578	199.508	199.19	196.77	196.474	197.179	196.738	196.163	196.69	195.312	195.986	198.233	197.984	197.601	197.88	197.925	198.447	197.963	197.648	166.147	166.364	165.981	165.486
unassigned_transcript_55	SAUSA300_RS00270	685.98	685.757	686.627	684.919	688.554	688.255	687.836	688.42	688.443	688.594	688.571	688.138	686.151	685.922	686.766	686.319	685.617	686.356	684.583	685.549	687.224	686.802	686.499	686.725	686.825	687.523	686.757	686.461	649.827	650.454	649.378	648.747
unassigned_transcript_56	SAUSA300_RS00275	332.985	332.761	333.627	331.922	335.557	335.268	334.839	335.427	335.447	335.602	335.575	335.146	333.153	332.926	333.769	333.32	332.618	333.358	331.587	332.55	334.228	333.808	333.506	333.728	333.836	334.528	333.766	333.468	296.852	297.476	296.415	295.782
unassigned_transcript_57	SAUSA300_RS16055	18.92	18.969	19.047	18.94	18.899	18.769	18.776	18.838	18.915	18.889	18.749	18.82	16.969	16.905	17.001	16.892	18.172	18.323	18.121	18.302	18.058	18.056	18.013	17.91	18.121	18.123	17.859	18.033	14.328	14.284	14.249	14.282
unassigned_transcript_58	SAUSA300_RS00280	962.98	962.757	963.627	961.919	965.554	965.255	964.836	965.42	965.443	965.594	965.571	965.138	963.151	962.922	963.766	963.319	962.617	963.356	961.583	962.549	964.224	963.802	963.499	963.725	963.825	964.523	963.757	963.461	926.827	927.454	926.378	925.747
unassigned_transcript_59	SAUSA300_RS00285	75.91	75.85	76.073	75.585	79.49	79.156	79.161	79.249	79.473	79.593	79.263	79.321	74.833	74.587	74.98	74.751	76.558	76.755	76.205	76.417	77.806	77.68	77.504	77.584	77.785	77.823	77.647	77.701	61.126	61.347	61.316	61.191
unassigned_transcript_60	SAUSA300_RS00290	338.98	338.757	339.627	337.919	341.554	341.255	340.836	341.42	341.443	341.594	341.571	341.139	339.151	338.922	339.766	339.319	338.617	339.356	337.583	338.549	340.224	339.802	339.499	339.725	339.825	340.523	339.757	339.461	302.827	303.454	302.378	301.747
unassigned_transcript_61	SAUSA300_RS00295	150.576	150.28	150.913	149.829	154.167	153.848	153.733	154.165	154.231	154.374	154.225	153.972	150.887	150.642	151.189	150.838	150.695	151.113	150.009	150.523	152.984	152.706	152.422	152.643	152.742	153.063	152.644	152.493	125.116	125.176	124.835	124.728
unassigned_transcript_62	SAUSA300_RS00300	187.528	187.233	187.955	186.647	190.789	190.523	190.266	190.754	190.845	190.94	190.876	190.545	188.073	187.773	188.436	188.007	187.508	187.97	186.695	187.312	189.607	189.37	188.967	189.257	189.334	189.801	189.312	189.02	158.185	158.375	158.044	157.603
unassigned_transcript_63	SAUSA300_RS14975	68.488	68.368	68.615	68.164	71.773	71.425	71.434	71.58	71.723	71.864	71.541	71.621	67.094	66.935	67.27	67.086	69.092	69.271	68.776	69.037	70.167	70.004	69.891	69.952	70.08	70.168	69.993	70.04	55.011	55.212	55.146	55.032
unassigned_transcript_64	SAUSA300_RS00305	835.98	835.757	836.627	834.919	838.554	838.255	837.836	838.42	838.443	838.594	838.571	838.138	836.151	835.922	836.766	836.319	835.617	836.356	834.583	835.549	837.224	836.802	836.499	836.725	836.825	837.523	836.757	836.461	799.827	800.454	799.378	798.747
unassigned_transcript_65	SAUSA300_RS00310	764.98	764.757	765.627	763.919	767.554	767.255	766.836	767.42	767.443	767.594	767.571	767.138	765.151	764.922	765.766	765.319	764.617	765.356	763.583	764.549	766.224	765.802	765.499	765.725	765.825	766.523	765.757	765.461	728.827	729.454	728.378	727.747
unassigned_transcript_66	SAUSA300_RS00315	833.98	833.757	834.627	832.919	836.554	836.255	835.836	836.42	836.443	836.594	836.571	836.138	834.151	833.922	834.766	834.319	833.617	834.356	832.583	833.549	835.224	834.802	834.499	834.725	834.825	835.523	834.757	834.461	797.827	798.454	797.378	796.747
unassigned_transcript_67	SAUSA300_RS00320	524.98	524.757	525.627	523.919	527.554	527.255	526.836	527.42	527.443	527.594	527.571	527.138	525.151	524.922	525.766	525.319	524.617	525.356	523.583	524.549	526.224	525.802	525.499	525.725	525.825	526.523	525.757	525.461	488.827	489.454	488.378	487.747
unassigned_transcript_68	SAUSA300_RS00325	1256.98	1256.757	1257.627	1255.919	1259.554	1259.255	1258.836	1259.42	1259.443	1259.594	1259.571	1259.138	1257.151	1256.922	1257.766	1257.319	1256.617	1257.356	1255.583	1256.549	1258.224	1257.802	1257.499	1257.725	1257.825	1258.523	1257.757	1257.461	1220.827	1221.454	1220.378	1219.747
unassigned_transcript_69	SAUSA300_RS00330	1070.98	1070.757	1071.627	1069.919	1073.554	1073.255	1072.836	1073.42	1073.443	1073.594	1073.571	1073.138	1071.151	1070.922	1071.766	1071.319	1070.617	1071.356	1069.583	1070.549	1072.224	1071.802	1071.499	1071.725	1071.825	1072.523	1071.757	1071.461	1034.827	1035.454	1034.378	1033.747
unassigned_transcript_70	SAUSA300_RS00335	282.095	281.851	282.703	281.036	284.782	284.523	284.131	284.658	284.648	284.86	284.825	284.463	282.356	282.135	282.927	282.514	281.779	282.463	280.764	281.662	283.457	283.112	282.791	283.009	283.117	283.803	283.065	282.758	247.142	247.64	246.783	246.222
unassigned_transcript_71	SAUSA300_RS00340	267.162	266.901	267.753	266.102	269.913	269.648	269.266	269.797	269.791	269.991	269.966	269.628	267.509	267.24	268.05	267.614	266.877	267.544	265.859	266.756	268.586	268.236	267.964	268.157	268.276	268.92	268.229	267.943	232.741	233.198	232.45	231.882
unassigned_transcript_72	SAUSA300_RS15955	29.687	29.639	29.745	29.551	30.587	30.401	30.543	30.522	30.657	30.719	30.561	30.547	27.333	27.19	27.376	27.233	29.512	29.564	29.361	29.553	29.386	29.351	29.31	29.261	29.37	29.407	29.325	29.416	22.975	23.018	22.856	22.977
unassigned_transcript_73	SAUSA300_RS14985	508.98	508.757	509.627	507.919	511.554	511.255	510.836	511.42	511.443	511.594	511.571	511.138	509.151	508.922	509.766	509.319	508.617	509.356	507.583	508.549	510.224	509.802	509.499	509.725	509.825	510.523	509.757	509.461	472.827	473.454	472.378	471.747
unassigned_transcript_74	SAUSA300_RS00355	650.98	650.757	651.627	649.919	653.554	653.255	652.836	653.42	653.443	653.594	653.571	653.138	651.151	650.922	651.766	651.319	650.617	651.356	649.583	650.549	652.224	651.802	651.499	651.725	651.825	652.523	651.757	651.461	614.827	615.454	614.378	613.747
unassigned_transcript_75	SAUSA300_RS00360	1034.98	1034.757	1035.627	1033.919	1037.554	1037.255	1036.836	1037.42	1037.443	1037.594	1037.571	1037.138	1035.151	1034.922	1035.766	1035.319	1034.617	1035.356	1033.583	1034.549	1036.224	1035.802	1035.499	1035.725	1035.825	1036.523	1035.757	1035.461	998.827	999.454	998.378	997.747
unassigned_transcript_76	SAUSA300_RS00365	527.98	527.757	528.627	526.919	530.554	530.255	529.836	530.42	530.443	530.594	530.571	530.138	528.151	527.922	528.766	528.319	527.617	528.356	526.583	527.549	529.224	528.802	528.499	528.725	528.825	529.523	528.757	528.461	491.827	492.454	491.378	490.747
unassigned_transcript_77	SAUSA300_RS00370	1388.98	1388.757	1389.627	1387.919	1391.554	1391.255	1390.836	1391.42	1391.443	1391.594	1391.571	1391.138	1389.151	1388.922	1389.766	1389.319	1388.617	1389.356	1387.583	1388.549	1390.224	1389.802	1389.499	1389.725	1389.825	1390.523	1389.757	1389.461	1352.827	1353.454	1352.378	1351.747
unassigned_transcript_78	SAUSA300_RS00375	791.98	791.757	792.627	790.919	794.554	794.255	793.836	794.42	794.443	794.594	794.571	794.138	792.151	791.922	792.766	792.319	791.617	792.356	790.583	791.549	793.224	792.802	792.499	792.725	792.825	793.523	792.757	792.461	755.827	756.454	755.378	754.747
unassigned_transcript_79	SAUSA300_RS00380	602.98	602.757	603.627	601.919	605.554	605.255	604.836	605.42	605.443	605.594	605.571	605.138	603.151	602.922	603.766	603.319	602.617	603.356	601.583	602.549	604.224	603.802	603.499	603.725	603.825	604.523	603.757	603.461	566.827	567.454	566.378	565.747
