tx	gene_id	N052611_albuterol_dexamethasone	N052611_albuterol	N052611_dexamethasone	N052611_untreated	N061011_albuterol_dexamethasone	N061011_albuterol	N061011_dexamethasone	N061011_untreated	N080611_albuterol_dexamethasone	N080611_albuterol	N080611_dexamethasone	N080611_untreated	N61311_albuterol_dexamethasone	N61311_albuterol	N61311_dexamethasone	N61311_untreated
XR_039297.2	LOC100133060	2080.131	2082.735	2080.468	2072.313	2080.115	2068.938	2081.406	2079.816	2079.927	2079.368	2079.185	2070.681	2075.397	2059.871	2077.23	2080.141
XM_002342014.1	LOC100133331	2334.131	2336.735	2334.468	2326.313	2334.115	2322.938	2335.406	2333.816	2333.927	2333.368	2333.185	2324.681	2329.397	2313.871	2331.23	2334.141
XM_001724486.2	LOC728534	681.167	683.775	681.507	673.346	681.171	669.992	682.456	680.859	680.971	680.418	680.222	671.737	676.456	660.979	678.298	681.21
XM_002342017.1	LOC100288069	992.131	994.735	992.468	984.313	992.115	980.938	993.406	991.816	991.927	991.368	991.185	982.681	987.397	971.871	989.23	992.141
XM_002342016.1	LOC100287934	777.163	779.767	777.493	769.339	777.159	765.982	778.441	776.852	776.963	776.399	776.21	767.725	772.436	756.927	774.284	777.184
XM_002342018.1	LOC100288100	1677.131	1679.735	1677.468	1669.313	1677.115	1665.938	1678.406	1676.816	1676.927	1676.368	1676.185	1667.681	1672.397	1656.871	1674.23	1677.141
NR_024321.1	NCRNA00115	1162.131	1164.735	1162.468	1154.313	1162.115	1150.938	1163.406	1161.816	1161.927	1161.368	1161.185	1152.681	1157.397	1141.871	1159.23	1162.141
NR_015368.1	LOC643837	1388.131	1390.735	1388.468	1380.313	1388.115	1376.938	1389.406	1387.816	1387.927	1387.368	1387.185	1378.681	1383.397	1367.871	1385.23	1388.141
NR_027055.1	FAM41C	1551.131	1553.735	1551.468	1543.313	1551.115	1539.938	1552.406	1550.816	1550.927	1550.368	1550.185	1541.681	1546.397	1530.871	1548.23	1551.141
NR_026874.1	FLJ39609	341.55	344.045	341.81	333.825	341.345	330.657	342.65	341.177	341.404	340.756	340.542	332.075	337.145	323.101	338.951	341.757
XM_001724524.1	LOC100128838	737.166	739.768	737.498	729.34	737.163	725.985	738.446	736.853	736.967	736.403	736.212	727.727	732.447	716.943	734.293	737.19
NM_152486.2	SAMD11	2399.131	2401.735	2399.468	2391.313	2399.115	2387.938	2400.406	2398.816	2398.927	2398.368	2398.185	2389.681	2394.397	2378.871	2396.23	2399.141
NM_015658.3	NOC2L	2645.131	2647.735	2645.468	2637.313	2645.115	2633.938	2646.406	2644.816	2644.927	2644.368	2644.185	2635.681	2640.397	2624.871	2642.23	2645.141
NM_198317.1	KLHL17	2405.131	2407.735	2405.468	2397.313	2405.115	2393.938	2406.406	2404.816	2404.927	2404.368	2404.185	2395.681	2400.397	2384.871	2402.23	2405.141
NM_032129.1	PLEKHN1	2249.131	2251.735	2249.468	2241.313	2249.115	2237.938	2250.406	2248.816	2248.927	2248.368	2248.185	2239.681	2244.397	2228.871	2246.23	2249.141
XR_039827.1	C1orf170	2879.131	2881.735	2879.468	2871.313	2879.115	2867.938	2880.406	2878.816	2878.927	2878.368	2878.185	2869.681	2874.397	2858.871	2876.23	2879.141
NM_021170.3	HES4	807.163	809.767	807.488	799.334	807.159	795.981	808.439	806.851	806.959	806.396	806.208	797.718	802.43	786.922	804.276	807.181
NM_001142467.1	HES4	883.131	885.735	883.468	875.313	883.115	871.938	884.406	882.816	882.927	882.368	882.185	873.681	878.397	862.871	880.23	883.141
NM_005101.3	ISG15	512.207	514.803	512.53	504.387	512.189	501.06	513.475	511.89	512.028	511.458	511.257	502.781	507.519	492.296	509.391	512.303
NM_198576.2	AGRN	7164.131	7166.735	7164.468	7156.313	7164.115	7152.938	7165.406	7163.816	7163.927	7163.368	7163.185	7154.681	7159.397	7143.871	7161.23	7164.141
XM_002342025.1	LOC401934	1428.131	1430.735	1428.468	1420.313	1428.115	1416.938	1429.406	1427.816	1427.927	1427.368	1427.185	1418.681	1423.397	1407.871	1425.23	1428.141
NM_017891.4	C1orf159	1949.131	1951.735	1949.468	1941.313	1949.115	1937.938	1950.406	1948.816	1948.927	1948.368	1948.185	1939.681	1944.397	1928.871	1946.23	1949.141
NM_001130045.1	TTLL10	2104.131	2106.735	2104.468	2096.313	2104.115	2092.938	2105.406	2103.816	2103.927	2103.368	2103.185	2094.681	2099.397	2083.871	2101.23	2104.141
NM_153254.2	TTLL10	1959.131	1961.735	1959.468	1951.313	1959.115	1947.938	1960.406	1958.816	1958.927	1958.368	1958.185	1949.681	1954.397	1938.871	1956.23	1959.141
NM_148901.1	TNFRSF18	834.163	836.764	834.488	826.334	834.154	822.98	835.435	833.851	833.957	833.396	833.205	824.71	829.428	813.917	831.269	834.173
NM_148902.1	TNFRSF18	1024.131	1026.735	1024.468	1016.313	1024.115	1012.938	1025.406	1023.816	1023.927	1023.368	1023.185	1014.681	1019.397	1003.871	1021.23	1024.141
NM_004195.2	TNFRSF18	1045.131	1047.735	1045.468	1037.313	1045.115	1033.938	1046.406	1044.816	1044.927	1044.368	1044.185	1035.681	1040.397	1024.871	1042.23	1045.141
NM_003327.2	TNFRSF4	913.131	915.735	913.468	905.313	913.115	901.938	914.406	912.816	912.927	912.368	912.185	903.681	908.397	892.871	910.23	913.141
NM_016176.3	SDF4	1867.131	1869.735	1867.468	1859.313	1867.115	1855.938	1868.406	1866.816	1866.927	1866.368	1866.185	1857.681	1862.397	1846.871	1864.23	1867.141
NM_016547.2	SDF4	1983.131	1985.735	1983.468	1975.313	1983.115	1971.938	1984.406	1982.816	1982.927	1982.368	1982.185	1973.681	1978.397	1962.871	1980.23	1983.141
NM_080605.3	B3GALT6	2638.131	2640.735	2638.468	2630.313	2638.115	2626.938	2639.406	2637.816	2637.927	2637.368	2637.185	2628.681	2633.397	2617.871	2635.23	2638.141
NM_001014980.1	FAM132A	881.131	883.735	881.468	873.313	881.115	869.938	882.406	880.816	880.927	880.368	880.185	871.681	876.397	860.871	878.23	881.141
NM_194457.1	UBE2J2	1974.131	1976.735	1974.468	1966.313	1974.115	1962.938	1975.406	1973.816	1973.927	1973.368	1973.185	1964.681	1969.397	1953.871	1971.23	1974.141
NM_058167.2	UBE2J2	2105.131	2107.735	2105.468	2097.313	2105.115	2093.938	2106.406	2104.816	2104.927	2104.368	2104.185	2095.681	2100.397	2084.871	2102.23	2105.141
NM_194315.1	UBE2J2	2153.131	2155.735	2153.468	2145.313	2153.115	2141.938	2154.406	2152.816	2152.927	2152.368	2152.185	2143.681	2148.397	2132.871	2150.23	2153.141
NM_194458.1	UBE2J2	2234.131	2236.735	2234.468	2226.313	2234.115	2222.938	2235.406	2233.816	2233.927	2233.368	2233.185	2224.681	2229.397	2213.871	2231.23	2234.141
NM_001130413.1	SCNN1D	2529.131	2531.735	2529.468	2521.313	2529.115	2517.938	2530.406	2528.816	2528.927	2528.368	2528.185	2519.681	2524.397	2508.871	2526.23	2529.141
NM_002978.2	SCNN1D	2348.131	2350.735	2348.468	2340.313	2348.115	2336.938	2349.406	2347.816	2347.927	2347.368	2347.185	2338.681	2343.397	2327.871	2345.23	2348.141
NM_030649.2	ACAP3	3604.131	3606.735	3604.468	3596.313	3604.115	3592.938	3605.406	3603.816	3603.927	3603.368	3603.185	3594.681	3599.397	3583.871	3601.23	3604.141
NM_153339.1	PUSL1	1085.131	1087.735	1085.468	1077.313	1085.115	1073.938	1086.406	1084.816	1084.927	1084.368	1084.185	1075.681	1080.397	1064.871	1082.23	1085.141
NM_017871.4	CPSF3L	1980.131	1982.735	1980.468	1972.313	1980.115	1968.938	1981.406	1979.816	1979.927	1979.368	1979.185	1970.681	1975.397	1959.871	1977.23	1980.141
NM_001029885.1	GLTPD1	2038.131	2040.735	2038.468	2030.313	2038.115	2026.938	2039.406	2037.816	2037.927	2037.368	2037.185	2028.681	2033.397	2017.871	2035.23	2038.141
NM_152228.1	TAS1R3	2404.131	2406.735	2404.468	2396.313	2404.115	2392.938	2405.406	2403.816	2403.927	2403.368	2403.185	2394.681	2399.397	2383.871	2401.23	2404.141
NM_004421.2	DVL1	2769.131	2771.735	2769.468	2761.313	2769.115	2757.938	2770.406	2768.816	2768.927	2768.368	2768.185	2759.681	2764.397	2748.871	2766.23	2769.141
NM_032348.2	MXRA8	2118.131	2120.735	2118.468	2110.313	2118.115	2106.938	2119.406	2117.816	2117.927	2117.368	2117.185	2108.681	2113.397	2097.871	2115.23	2118.141
XM_002342019.1	LOC100288202	622.174	624.783	622.509	614.357	622.176	611.008	623.462	621.864	621.988	621.433	621.235	612.753	617.474	602.025	619.322	622.234
NM_001127229.1	AURKAIP1	754.166	756.768	754.498	746.339	754.159	742.984	755.442	753.853	753.966	753.402	753.211	744.727	749.44	733.936	751.29	754.189
NM_017900.2	AURKAIP1	835.163	837.764	835.488	827.333	835.154	823.98	836.435	834.851	834.957	834.396	834.205	825.71	830.428	814.916	832.269	835.173
NM_001127230.1	AURKAIP1	657.17	659.777	657.508	649.352	657.174	646.002	658.459	656.861	656.977	656.422	656.228	647.744	652.462	636.997	654.31	657.216
NM_030937.4	CCNL2	2960.131	2962.735	2960.468	2952.313	2960.115	2948.938	2961.406	2959.816	2959.927	2959.368	2959.185	2950.681	2955.397	2939.871	2957.23	2960.141
NM_001144868.1	CCNL2	2974.131	2976.735	2974.468	2966.313	2974.115	2962.938	2975.406	2973.816	2973.927	2973.368	2973.185	2964.681	2969.397	2953.871	2971.23	2974.141
NM_001144867.1	CCNL2	3684.131	3686.735	3684.468	3676.313	3684.115	3672.938	3685.406	3683.816	3683.927	3683.368	3683.185	3674.681	3679.397	3663.871	3681.23	3684.141
NM_001039577.2	CCNL2	5114.131	5116.735	5114.468	5106.313	5114.115	5102.938	5115.406	5113.816	5113.927	5113.368	5113.185	5104.681	5109.397	5093.871	5111.23	5114.141
NR_015434.1	LOC148413	1593.131	1595.735	1593.468	1585.313	1593.115	1581.938	1594.406	1592.816	1592.927	1592.368	1592.185	1583.681	1588.397	1572.871	1590.23	1593.141
NM_017971.3	MRPL20	578.189	580.788	578.515	570.366	578.179	567.02	579.466	577.869	578.002	577.435	577.239	568.76	573.485	558.112	575.342	578.257
XM_002342020.1	TMEM88B	1309.131	1311.735	1309.468	1301.313	1309.115	1297.938	1310.406	1308.816	1308.927	1308.368	1308.185	1299.681	1304.397	1288.871	1306.23	1309.141
NR_026871.1	LOC441869	1322.131	1324.735	1322.468	1314.313	1322.115	1310.938	1323.406	1321.816	1321.927	1321.368	1321.185	1312.681	1317.397	1301.871	1319.23	1322.141
NM_001145210.1	LOC441869	1863.131	1865.735	1863.468	1855.313	1863.115	1851.938	1864.406	1862.816	1862.927	1862.368	1862.185	1853.681	1858.397	1842.871	1860.23	1863.141
XM_002342021.1	LOC100288271	605.177	607.786	605.51	597.363	605.178	594.014	606.462	604.865	604.995	604.434	604.237	595.757	600.477	585.053	602.331	605.24
NM_022834.3	VWA1	2382.131	2384.735	2382.468	2374.313	2382.115	2370.938	2383.406	2381.816	2381.927	2381.368	2381.185	2372.681	2377.397	2361.871	2379.23	2382.141
NM_199121.1	VWA1	1987.131	1989.735	1987.468	1979.313	1987.115	1975.938	1988.406	1986.816	1986.927	1986.368	1986.185	1977.681	1982.397	1966.871	1984.23	1987.141
NM_001039211.2	ATAD3C	3704.131	3706.735	3704.468	3696.313	3704.115	3692.938	3705.406	3703.816	3703.927	3703.368	3703.185	3694.681	3699.397	3683.871	3701.23	3704.141
NM_031921.4	ATAD3B	2278.131	2280.735	2278.468	2270.313	2278.115	2266.938	2279.406	2277.816	2277.927	2277.368	2277.185	2268.681	2273.397	2257.871	2275.23	2278.141
NM_018188.2	ATAD3A	2456.131	2458.735	2456.468	2448.313	2456.115	2444.938	2457.406	2455.816	2455.927	2455.368	2455.185	2446.681	2451.397	2435.871	2453.23	2456.141
NM_001114748.1	C1orf70	962.131	964.735	962.468	954.313	962.115	950.938	963.406	961.816	961.927	961.368	961.185	952.681	957.397	941.871	959.23	962.141
NM_014188.2	SSU72	1148.131	1150.735	1148.468	1140.313	1148.115	1136.938	1149.406	1147.816	1147.927	1147.368	1147.185	1138.681	1143.397	1127.871	1145.23	1148.141
XM_002342022.1	LOC100288313	266.267	268.602	266.473	258.897	265.771	255.862	267.133	265.842	266.237	265.451	265.195	256.939	262.297	249.625	264.031	266.734
XR_042003.2	LOC643988	1926.131	1928.735	1926.468	1918.313	1926.115	1914.938	1927.406	1925.816	1925.927	1925.368	1925.185	1916.681	1921.397	1905.871	1923.23	1926.141
NM_080875.1	MIB2	3089.131	3091.735	3089.468	3081.313	3089.115	3077.938	3090.406	3088.816	3088.927	3088.368	3088.185	3079.681	3084.397	3068.871	3086.23	3089.141
NM_006983.1	MMP23B	1085.131	1087.735	1085.468	1077.313	1085.115	1073.938	1086.406	1084.816	1084.927	1084.368	1084.185	1075.681	1080.397	1064.871	1082.23	1085.141
NM_033493.1	CDC2L1	2073.131	2075.735	2073.468	2065.313	2073.115	2061.938	2074.406	2072.816	2072.927	2072.368	2072.185	2063.681	2068.397	2052.871	2070.23	2073.141
NM_033492.1	CDC2L1	2100.131	2102.735	2100.468	2092.313	2100.115	2088.938	2101.406	2099.816	2099.927	2099.368	2099.185	2090.681	2095.397	2079.871	2097.23	2100.141
NM_033486.1	CDC2L1	2085.131	2087.735	2085.468	2077.313	2085.115	2073.938	2086.406	2084.816	2084.927	2084.368	2084.185	2075.681	2080.397	2064.871	2082.23	2085.141
NM_033487.1	CDC2L1	1849.131	1851.735	1849.468	1841.313	1849.115	1837.938	1850.406	1848.816	1848.927	1848.368	1848.185	1839.681	1844.397	1828.871	1846.23	1849.141
NM_033488.1	CDC2L1	2120.131	2122.735	2120.468	2112.313	2120.115	2108.938	2121.406	2119.816	2119.927	2119.368	2119.185	2110.681	2115.397	2099.871	2117.23	2120.141
NM_033489.1	CDC2L1	2132.131	2134.735	2132.468	2124.313	2132.115	2120.938	2133.406	2131.816	2131.927	2131.368	2131.185	2122.681	2127.397	2111.871	2129.23	2132.141
NM_001110781.1	LOC728661	5848.131	5850.735	5848.468	5840.313	5848.115	5836.938	5849.406	5847.816	5847.927	5847.368	5847.185	5838.681	5843.397	5827.871	5845.23	5848.141
XR_078215.1	LOC100288379	715.166	717.77	715.5	707.342	715.168	703.985	716.446	714.853	714.968	714.404	714.213	705.728	710.449	694.952	712.294	715.196
XM_002342012.1	LOC100287685	497.213	499.808	497.535	489.397	497.194	486.083	498.478	496.893	497.038	496.471	496.263	487.785	492.534	477.367	494.411	497.326
NR_002946.1	MMP23A	751.166	753.768	751.498	743.339	751.159	739.984	752.443	750.853	750.966	750.402	750.211	741.727	746.441	730.937	748.29	751.19
NM_033529.2	CDC2L2	2443.131	2445.735	2443.468	2435.313	2443.115	2431.938	2444.406	2442.816	2442.927	2442.368	2442.185	2433.681	2438.397	2422.871	2440.23	2443.141
NM_024011.2	CDC2L2	2473.131	2475.735	2473.468	2465.313	2473.115	2461.938	2474.406	2472.816	2472.927	2472.368	2472.185	2463.681	2468.397	2452.871	2470.23	2473.141
NM_182838.1	SLC35E2	1275.131	1277.735	1275.468	1267.313	1275.115	1263.938	1276.406	1274.816	1274.927	1274.368	1274.185	1265.681	1270.397	1254.871	1272.23	1275.141
XR_037820.2	LOC100129381	598.184	600.786	598.512	590.364	598.179	587.015	599.465	597.867	597.995	597.434	597.237	588.759	593.478	578.066	595.335	598.245
NM_023018.3	NADK	3080.131	3082.735	3080.468	3072.313	3080.115	3068.938	3081.406	3079.816	3079.927	3079.368	3079.185	3070.681	3075.397	3059.871	3077.23	3080.141
NM_002074.2	GNB1	2973.131	2975.735	2973.468	2965.313	2973.115	2961.938	2974.406	2972.816	2972.927	2972.368	2972.185	2963.681	2968.397	2952.871	2970.23	2973.141
NM_138705.2	CALML6	946.131	948.735	946.468	938.313	946.115	934.938	947.406	945.816	945.927	945.368	945.185	936.681	941.397	925.871	943.23	946.141
NM_178545.3	TMEM52	803.163	805.767	803.49	795.335	803.159	791.981	804.439	802.851	802.96	802.396	802.208	793.719	798.43	782.924	800.276	803.183
NM_001003808.1	C1orf222	2601.131	2603.735	2601.468	2593.313	2601.115	2589.938	2602.406	2600.816	2600.927	2600.368	2600.185	2591.681	2596.397	2580.871	2598.23	2601.141
NM_001080484.1	KIAA1751	4555.131	4557.735	4555.468	4547.313	4555.115	4543.938	4556.406	4554.816	4554.927	4554.368	4554.185	4545.681	4550.397	4534.871	4552.23	4555.141
NM_000815.4	GABRD	1770.131	1772.735	1770.468	1762.313	1770.115	1758.938	1771.406	1769.816	1769.927	1769.368	1769.185	1760.681	1765.397	1749.871	1767.23	1770.141
NM_002744.4	PRKCZ	2171.131	2173.735	2171.468	2163.313	2171.115	2159.938	2172.406	2170.816	2170.927	2170.368	2170.185	2161.681	2166.397	2150.871	2168.23	2171.141
NM_001033581.1	PRKCZ	1959.131	1961.735	1959.468	1951.313	1959.115	1947.938	1960.406	1958.816	1958.927	1958.368	1958.185	1949.681	1954.397	1938.871	1956.23	1959.141
NM_001033582.1	PRKCZ	1856.131	1858.735	1856.468	1848.313	1856.115	1844.938	1857.406	1855.816	1855.927	1855.368	1855.185	1846.681	1851.397	1835.871	1853.23	1856.141
XM_002342013.1	LOC100287750	2248.131	2250.735	2248.468	2240.313	2248.115	2236.938	2249.406	2247.816	2247.927	2247.368	2247.185	2238.681	2243.397	2227.871	2245.23	2248.141
NR_024445.1	LOC100128003	4388.131	4390.735	4388.468	4380.313	4388.115	4376.938	4389.406	4387.816	4387.927	4387.368	4387.185	4378.681	4383.397	4367.871	4385.23	4388.141
NM_182533.2	C1orf86	575.19	577.788	575.515	567.368	575.179	564.021	576.466	574.87	575.002	574.435	574.24	565.761	570.486	555.115	572.344	575.259
XR_041873.1	FLJ14100	499.213	501.808	499.534	491.396	499.194	488.081	500.477	498.893	499.036	498.467	498.262	489.784	494.531	479.359	496.408	499.32
NM_003036.3	SKI	5552.131	5554.735	5552.468	5544.313	5552.115	5540.938	5553.406	5551.816	5551.927	5551.368	5551.185	5542.681	5547.397	5531.871	5549.23	5552.141
NM_024848.1	MORN1	1486.131	1488.735	1486.468	1478.313	1486.115	1474.938	1487.406	1485.816	1485.927	1485.368	1485.185	1476.681	1481.397	1465.871	1483.23	1486.141
NR_024489.1	LOC100129534	2093.131	2095.735	2093.468	2085.313	2093.115	2081.938	2094.406	2092.816	2092.927	2092.368	2092.185	2083.681	2088.397	2072.871	2090.23	2093.141
NM_007033.3	RER1	2938.131	2940.735	2938.468	2930.313	2938.115	2926.938	2939.406	2937.816	2937.927	2937.368	2937.185	2928.681	2933.397	2917.871	2935.23	2938.141
NM_002617.3	PEX10	1859.131	1861.735	1859.468	1851.313	1859.115	1847.938	1860.406	1858.816	1858.927	1858.368	1858.185	1849.681	1854.397	1838.871	1856.23	1859.141
NM_153818.1	PEX10	1919.131	1921.735	1919.468	1911.313	1919.115	1907.938	1920.406	1918.816	1918.927	1918.368	1918.185	1909.681	1914.397	1898.871	1916.23	1919.141
NM_014638.2	PLCH2	4682.131	4684.735	4682.468	4674.313	4682.115	4670.938	4683.406	4681.816	4681.927	4681.368	4681.185	4672.681	4677.397	4661.871	4679.23	4682.141
NM_018216.1	PANK4	2487.131	2489.735	2487.468	2479.313	2487.115	2475.938	2488.406	2486.816	2486.927	2486.368	2486.185	2477.681	2482.397	2466.871	2484.23	2487.141
NM_001010926.3	HES5	1151.131	1153.735	1151.468	1143.313	1151.115	1139.938	1152.406	1150.816	1150.927	1150.368	1150.185	1141.681	1146.397	1130.871	1148.23	1151.141
NR_026927.1	LOC115110	2054.131	2056.735	2054.468	2046.313	2054.115	2042.938	2055.406	2053.816	2053.927	2053.368	2053.185	2044.681	2049.397	2033.871	2051.23	2054.141
XR_039404.2	LOC100132814	806.163	808.767	806.489	798.334	806.159	794.981	807.439	805.851	805.959	805.396	805.208	796.718	801.43	785.923	803.276	806.182
NM_003820.2	TNFRSF14	1552.131	1554.735	1552.468	1544.313	1552.115	1540.938	1553.406	1551.816	1551.927	1551.368	1551.185	1542.681	1547.397	1531.871	1549.23	1552.141
XR_078213.1	LOC100131742	278.092	280.46	278.293	270.631	277.661	267.57	279.025	277.676	278.009	277.288	277.029	268.731	274.029	261.099	275.791	278.497
NM_152371.2	C1orf93	2554.131	2556.735	2554.468	2546.313	2554.115	2542.938	2555.406	2553.816	2553.927	2553.368	2553.185	2544.681	2549.397	2533.871	2551.23	2554.141
NM_033467.2	MMEL1	2695.131	2697.735	2695.468	2687.313	2695.115	2683.938	2696.406	2694.816	2694.927	2694.368	2694.185	2685.681	2690.397	2674.871	2692.23	2695.141
XM_002342015.1	LOC100287898	1620.131	1622.735	1620.468	1612.313	1620.115	1608.938	1621.406	1619.816	1619.927	1619.368	1619.185	1610.681	1615.397	1599.871	1617.23	1620.141
NM_080431.4	ACTRT2	1267.131	1269.735	1267.468	1259.313	1267.115	1255.938	1268.406	1266.816	1266.927	1266.368	1266.185	1257.681	1262.397	1246.871	1264.23	1267.141
NR_015440.1	FLJ42875	3553.131	3555.735	3553.468	3545.313	3553.115	3541.938	3554.406	3552.816	3552.927	3552.368	3552.185	3543.681	3548.397	3532.871	3550.23	3553.141
NR_024371.1	FLJ42875	465.227	467.828	465.549	457.418	465.209	454.124	466.492	464.91	465.073	464.489	464.283	455.8	460.588	445.548	462.447	465.358
NM_022114.2	PRDM16	8563.131	8565.735	8563.468	8555.313	8563.115	8551.938	8564.406	8562.816	8562.927	8562.368	8562.185	8553.681	8558.397	8542.871	8560.23	8563.141
NM_199454.1	PRDM16	8506.131	8508.735	8506.468	8498.313	8506.115	8494.938	8507.406	8505.816	8505.927	8505.368	8505.185	8496.681	8501.397	8485.871	8503.23	8506.141
XM_002342024.1	LOC100288479	651.17	653.777	651.508	643.354	651.174	640.002	652.459	650.861	650.981	650.423	650.23	641.744	646.462	631	648.31	651.218
NM_014448.3	ARHGEF16	2749.131	2751.735	2749.468	2741.313	2749.115	2737.938	2750.406	2748.816	2748.927	2748.368	2748.185	2739.681	2744.397	2728.871	2746.23	2749.141
NM_001409.3	MEGF6	7284.131	7286.735	7284.468	7276.313	7284.115	7272.938	7285.406	7283.816	7283.927	7283.368	7283.185	7274.681	7279.397	7263.871	7281.23	7284.141
NM_182752.3	TPRG1L	2273.131	2275.735	2273.468	2265.313	2273.115	2261.938	2274.406	2272.816	2272.927	2272.368	2272.185	2263.681	2268.397	2252.871	2270.23	2273.141
NM_017818.3	WDR8	1544.131	1546.735	1544.468	1536.313	1544.115	1532.938	1545.406	1543.816	1543.927	1543.368	1543.185	1534.681	1539.397	1523.871	1541.23	1544.141
NM_005427.2	TP73	2690.131	2692.735	2690.468	2682.313	2690.115	2678.938	2691.406	2689.816	2689.927	2689.368	2689.185	2680.681	2685.397	2669.871	2687.23	2690.141
NM_001126240.1	TP73	2667.131	2669.735	2667.468	2659.313	2667.115	2655.938	2668.406	2666.816	2666.927	2666.368	2666.185	2657.681	2662.397	2646.871	2664.23	2667.141
NM_001126241.1	TP73	2573.131	2575.735	2573.468	2565.313	2573.115	2561.938	2574.406	2572.816	2572.927	2572.368	2572.185	2563.681	2568.397	2552.871	2570.23	2573.141
NM_001126242.1	TP73	2518.131	2520.735	2518.468	2510.313	2518.115	2506.938	2519.406	2517.816	2517.927	2517.368	2517.185	2508.681	2513.397	2497.871	2515.23	2518.141
NM_207306.2	KIAA0495	6203.131	6205.735	6203.468	6195.313	6203.115	6191.938	6204.406	6202.816	6202.927	6202.368	6202.185	6193.681	6198.397	6182.871	6200.23	6203.141
NM_152492.2	CCDC27	2019.131	2021.735	2019.468	2011.313	2019.115	2007.938	2020.406	2018.816	2018.927	2018.368	2018.185	2009.681	2014.397	1998.871	2016.23	2019.141
NR_024432.1	LOC388588	365.451	367.968	365.714	357.668	365.3	354.476	366.602	365.083	365.289	364.661	364.444	355.963	360.954	346.608	362.776	365.634
