gene_id	gene_name	N052611_albuterol_dexamethasone	N052611_albuterol	N052611_dexamethasone	N052611_untreated	N061011_albuterol_dexamethasone	N061011_albuterol	N061011_dexamethasone	N061011_untreated	N080611_albuterol_dexamethasone	N080611_albuterol	N080611_dexamethasone	N080611_untreated	N61311_albuterol_dexamethasone	N61311_albuterol	N61311_dexamethasone	N61311_untreated
AAAS	AAAS	1682.131	1684.735	1682.468	1674.313	1682.115	1670.938	1683.406	1681.816	1681.927	1681.368	1681.185	1672.681	1677.397	1661.871	1679.23	1682.141
AACS	AACS	3166.131	3168.735	3166.468	3158.313	3166.115	3154.938	3167.406	3165.816	3165.927	3165.368	3165.185	3156.681	3161.397	3145.871	3163.23	3166.141
AACSL	AACSL	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625	2016.732625
AADAC	AADAC	1451.131	1453.735	1451.468	1443.313	1451.115	1439.938	1452.406	1450.816	1450.927	1450.368	1450.185	1441.681	1446.397	1430.871	1448.23	1451.141
AADACL1	AADACL1	4134.131	4136.735	4134.468	4126.313	4134.115	4122.938	4135.406	4133.816	4133.927	4133.368	4133.185	4124.681	4129.397	4113.871	4131.23	4134.141
AADACL2	AADACL2	1345.131	1347.735	1343.09841080777	1337.313	1343.09841080777	1333.938	1346.406	1344.816	1343.09841080777	1344.368	1343.09841080777	1343.09841080777	1343.09841080777	1343.09841080777	1343.09841080777	1345.141
AADACL3	AADACL3	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625	3782.232625
AADACL4	AADACL4	1420.131	1422.735	1420.468	1412.313	1420.115	1408.938	1421.406	1419.816	1416.92417790293	1419.368	1419.185	1416.92417790293	1415.397	1399.871	1417.23	1420.141
AADAT	AADAT	2171.131	2173.735	2080.54133444616	2163.313	2162.33769328788	2159.938	2172.406	2160.21573607382	2170.927	2170.368	2125.77072465926	2148.1669641768	2166.397	2137.44416972404	2168.23	2156.32670838319
AAK1	AAK1	21110.131	21112.735	21110.468	21102.313	21110.115	21098.938	21111.406	21109.816	21109.927	21109.368	21109.185	21100.681	21105.397	21089.871	21107.23	21110.141
AAMP	AAMP	1638.131	1640.735	1638.468	1630.313	1638.115	1626.938	1639.406	1637.816	1637.927	1637.368	1637.185	1628.681	1633.397	1617.871	1635.23	1638.141
AANAT	AANAT	846.57985564046	846.57985564046	846.57985564046	842.313	846.57985564046	846.57985564046	851.406	846.57985564046	846.57985564046	849.368	849.185	840.681	846.57985564046	846.57985564046	846.57985564046	846.57985564046
AARS	AARS	3189.131	3191.735	3189.468	3181.313	3189.115	3177.938	3190.406	3188.816	3188.927	3188.368	3188.185	3179.681	3184.397	3168.871	3186.23	3189.141
AARS2	AARS2	4627.131	4629.735	4627.468	4619.313	4627.115	4615.938	4628.406	4626.816	4626.927	4626.368	4626.185	4617.681	4622.397	4606.871	4624.23	4627.141
AARSD1	AARSD1	1637.14614623106	1650.46350078176	1640.1448611084	1632.25888884518	1638.89942553724	1626.90036959191	1641.47345209613	1635.30599316827	1635.81125112804	1639.67826480096	1644.70701909134	1626.06347009289	1631.86554015158	1616.12115347144	1636.71469973274	1635.46492200885
AASDH	AASDH	3407.131	3409.735	3407.468	3399.313	3407.115	3395.938	3408.406	3406.816	3406.927	3406.368	3406.185	3397.681	3402.397	3386.871	3404.23	3407.141
AASDHPPT	AASDHPPT	2706.131	2708.735	2706.468	2698.313	2706.115	2694.938	2707.406	2705.816	2705.927	2705.368	2705.185	2696.681	2701.397	2685.871	2703.23	2706.141
AASS	AASS	5716.131	5718.735	5716.468	5708.313	5716.115	5704.938	5717.406	5715.816	5715.927	5715.368	5715.185	5706.681	5711.397	5695.871	5713.23	5716.141
AATF	AATF	1986.131	1988.735	1986.468	1978.313	1986.115	1974.938	1987.406	1985.816	1985.927	1985.368	1985.185	1976.681	1981.397	1965.871	1983.23	1986.141
AATK	AATK	5157.131	5159.735	5157.468	5149.313	5157.115	5145.938	5153.08538299442	5156.816	5153.08538299442	5156.368	5156.185	5147.681	5152.397	5136.871	5153.08538299442	5157.141
ABAT	ABAT	4659.131	4664.25780785159	4659.468	4651.313	4671.94764225173	4647.938	4660.406	4658.816	4682.93418369768	4658.368	4658.185	4649.681	4654.397	4638.871	4656.23	4659.141
ABCA1	ABCA1	10257.131	10259.735	10257.468	10249.313	10257.115	10245.938	10258.406	10256.816	10256.927	10256.368	10256.185	10247.681	10252.397	10236.871	10254.23	10257.141
ABCA10	ABCA10	6176.131	6178.735	6176.468	6168.313	6176.115	6164.938	6177.406	6175.816	6175.927	6175.368	6175.185	6166.681	6171.397	6155.871	6173.23	6176.141
ABCA11P	ABCA11P	1740.131	1742.735	1740.468	1732.313	1740.115	1728.938	1741.406	1739.816	1739.927	1739.368	1739.185	1730.681	1735.397	1719.871	1737.23	1740.141
ABCA12	ABCA12	8945.131	7932.735	7930.468	8937.313	7930.115	8933.938	8185.28072885122	7929.816	7929.927	8944.368	7929.185	7920.681	7925.397	7909.871	7927.23	7930.141
ABCA13	ABCA13	17029.131	17031.735	17029.468	17021.313	17029.115	17017.938	17030.406	17028.816	17028.927	17028.368	17028.185	17019.681	17024.397	17008.871	17026.23	17029.141
ABCA17P	ABCA17P	4033.131	4035.735	4029.86784167318	4025.313	4033.115	4021.938	4034.406	4032.816	4032.927	4032.368	4032.185	4029.86784167318	4028.397	4012.871	4029.86784167318	4033.141
ABCA2	ABCA2	7999.131	8001.735	7999.468	7991.313	7999.115	7987.938	8000.05456985856	7998.816	7998.927	7997.92053844235	7998.185	7989.681	7994.397	7978.871	7996.23	7999.141
ABCA3	ABCA3	6468.131	6470.735	6468.468	6460.313	6468.115	6456.938	6469.406	6467.816	6467.927	6467.368	6467.185	6458.681	6463.397	6447.871	6465.23	6468.141
ABCA4	ABCA4	7171.131	7173.735	7171.468	7163.313	7171.115	7159.938	7172.406	7170.816	7170.927	7170.368	7170.185	7161.681	7166.397	7150.871	7168.23	7171.141
ABCA5	ABCA5	8321.86352542512	8275.3499540678	8233.47586575709	8167.03200019795	8243.99990135901	8118.41735894989	8127.16837586897	8165.10916955592	8100.45261575842	8396.90526830975	8237.87015722041	8293.71384934117	8392.72668497019	8360.89808570139	8413.85413197102	8367.34813259426
ABCA6	ABCA6	5141.131	5143.735	5141.468	5133.313	5141.115	5129.938	5142.406	5140.816	5140.927	5140.368	5140.185	5131.681	5136.397	5120.871	5138.23	5141.141
ABCA7	ABCA7	6664.131	6666.735	6664.468	6656.313	6664.115	6652.938	6665.406	6663.816	6663.927	6663.368	6663.185	6654.681	6659.397	6643.871	6661.23	6664.141
ABCA8	ABCA8	5566.131	5568.735	5566.468	5558.313	5566.115	5554.938	5567.406	5565.816	5565.927	5565.368	5565.185	5556.681	5561.397	5545.871	5563.23	5566.141
ABCA9	ABCA9	6146.131	6148.735	6146.468	6138.313	6146.115	6134.938	6147.406	6145.816	6145.927	6145.368	6145.185	6136.681	6141.397	6125.871	6143.23	6146.141
ABCB1	ABCB1	4717.131	4719.735	4717.468	4709.313	4717.115	4705.938	4718.406	4716.816	4716.927	4716.368	4716.185	4707.681	4712.397	4696.871	4714.23	4717.141
ABCB10	ABCB10	3702.131	3704.735	3702.468	3694.313	3702.115	3690.938	3703.406	3701.816	3701.927	3701.368	3701.185	3692.681	3697.397	3681.871	3699.23	3702.141
ABCB11	ABCB11	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625	4616.732625
ABCB4	ABCB4	3812.131	3735.90724889116	3704.74467272639	3735.12685576995	3671.115	3800.938	3813.406	3811.816	3713.5647750203	3811.368	3721.59378429385	3710.89552338468	3733.12879276724	3698.78434971285	3668.23	3750.59258501441
ABCB5	ABCB5	2629.131	2631.735	2629.468	2621.313	2629.115	2617.938	2630.406	2628.816	2628.927	2625.50157080395	2628.185	2619.681	2624.397	2608.871	2625.50157080395	2629.141
ABCB6	ABCB6	2817.131	2819.735	2817.468	2809.313	2817.115	2805.938	2818.406	2816.816	2816.927	2816.368	2816.185	2807.681	2812.397	2796.871	2814.23	2817.141
ABCB7	ABCB7	2232.131	2234.735	2232.468	2224.313	2232.115	2220.938	2233.406	2231.816	2231.927	2231.368	2231.185	2222.681	2227.397	2211.871	2229.23	2232.141
ABCB8	ABCB8	4528.131	4530.735	4528.468	4520.313	4528.115	4516.938	4529.406	4527.816	4527.927	4527.368	4527.185	4518.681	4523.397	4507.871	4525.23	4528.141
ABCB9	ABCB9	3528.56979572108	3455.99634827106	3375.468	3410.55315605989	3426.93100700848	3466.80686859513	3578.62934362622	3530.25775449212	3554.18444339585	3611.06821487645	3594.0050003987	3520.0758141421	3493.94187474582	3398.16156674151	3370.42532660824	3474.56359263681
ABCC1	ABCC1	6362.8399728582	6371.9586688414	6383.91980535163	6369.29359640733	6386.65328639578	6363.21425800938	6392.79079815147	6380.84355465037	6378.15220132771	6393.35606841689	6397.15138043962	6384.08286018299	6383.62498301186	6353.87778394748	6367.1015521947	6387.64088094026
ABCC10	ABCC10	4933.131	4935.735	4933.468	4925.313	4933.115	4921.938	4934.406	4932.816	4932.927	4932.368	4932.185	4923.681	4928.397	4912.871	4930.23	4933.141
ABCC11	ABCC11	4307.131	4309.735	4307.468	4319.95965925887	4307.115	4295.938	4422.406	4306.816	4306.927	4420.368	4319.95965925887	4297.681	4302.397	4286.871	4304.23	4307.141
ABCC12	ABCC12	5009.46161534522	5009.46161534522	5009.46161534522	5009.46161534522	5013.115	5001.938	5014.406	5009.46161534522	5009.46161534522	5009.46161534522	5009.46161534522	5009.46161534522	5008.397	5009.46161534522	5009.46161534522	5009.46161534522
ABCC13	ABCC13	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375	1674.2599375
ABCC2	ABCC2	4896.131	4898.735	4896.468	4888.313	4896.115	4884.938	4897.406	4895.816	4895.927	4895.368	4895.185	4886.681	4891.397	4875.871	4893.23	4896.141
ABCC3	ABCC3	4178.6897282088	4103.79264557796	4459.04631826247	4208.15397652807	4599.38540312377	4722.65875816108	4712.12741915629	4412.10359536049	4439.48298503116	4406.19797221789	4287.8315670344	4348.74528880414	4118.97768598372	4990.871	4493.50712788604	4203.76468926575
ABCC4	ABCC4	5613.70841179838	5648.84058606868	5676.73788581152	5680.313	5664.40934041468	5601.04755505474	5619.48195730916	5599.68087945452	5581.30673326023	5595.619000664	5638.87985180794	5618.05339010179	5640.70414932759	5566.9635284251	5638.12800874564	5675.46172794888
ABCC5	ABCC5	3306.85516808578	3409.82549554093	3445.29055696392	3424.49120677371	3132.20425919134	3255.57849988296	3342.54021113756	3184.57026017001	3704.56527074748	3611.29026732867	3618.51529292392	3852.80971881677	3071.58949945439	3322.97147321358	3363.29799366302	3208.34983751335
ABCC6	ABCC6	1939.1963490654	1402.96715184704	2161.03250708962	2640.82669457634	1826.87633280891	2341.00011877979	2611.25947997821	2388.65762511395	2095.44309424627	1998.55111292212	2633.81543720928	2624.81331840442	1214.23347403222	1708.17261403454	1029.18484627345	1417.44498409506
ABCC6P1	ABCC6P1	2573.131	2575.735	2573.468	2565.313	2573.115	2561.938	2574.406	2572.816	2572.927	2572.368	2572.185	2563.681	2568.397	2552.871	2570.23	2573.141
ABCC6P2	ABCC6P2	551.194	553.792	551.52	543.375	551.182	540.028	552.469	550.875	551.009	550.441	550.243	541.765	546.495	531.165	548.35	551.272
ABCC8	ABCC8	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625	4819.732625
ABCC9	ABCC9	6297.55097582487	6762.27549511582	7498.1115018788	6324.577693295	6689.11229814011	6574.45630459328	6432.7680850005	6418.05746893115	6381.68364725592	6702.31835480889	6209.61823161838	6344.85320039983	6492.15853915302	6521.75550620288	6803.47399204914	6582.63626423612
ABCD1	ABCD1	3509.131	3511.735	3509.468	3501.313	3509.115	3497.938	3510.406	3508.816	3508.927	3508.368	3508.185	3499.681	3504.397	3488.871	3506.23	3509.141
ABCD2	ABCD2	5181.85701544543	5188.735	5186.468	5178.313	5186.115	5174.938	5187.406	5181.85701544543	5181.85701544543	5181.85701544543	5181.85701544543	5181.85701544543	5181.397	5165.871	5183.23	5186.141
ABCD3	ABCD3	3397.70372720781	3415.55293270133	3461.468	3453.313	3426.88147975931	3431.50857292044	3426.94235144129	3460.816	3460.927	3435.99522097211	3369.91020330445	3451.681	3456.397	3412.07664067947	3425.21953850404	3409.4632511099
ABCD4	ABCD4	2940.67036936101	2949.29655420041	2964.42889993048	2924.15185070023	2976.43333508109	2980.43337832577	2984.3088002759	2977.73870695735	2946.21280635438	2968.32410395628	2951.16468424435	2915.40757510422	2952.0784879619	2953.3258809673	2955.37444787438	2977.00665383223
ABCE1	ABCE1	4038.74437078667	4041.56956588967	4039.22881661712	4030.95342911261	4038.7305363729	4027.44227537381	4040.21437840756	4038.75227045098	4038.74405647676	4038.17183894804	4037.87326096518	4028.98096146884	4034.04775938297	4018.51582488656	4036.05754012328	4038.74296502461
ABCF1	ABCF1	3309.131	3302.67406411408	3302.67406411408	3301.313	3302.67406411408	3302.67406411408	3302.67406411408	3302.67406411408	3302.67406411408	3302.67406411408	3302.67406411408	3299.681	3304.397	3288.871	3306.23	3309.141
ABCF1_1	ABCF1_1	3309.131	3311.735	3306.14313156362	3301.313	3309.115	3297.938	3306.14313156362	3308.816	3308.927	3308.368	3308.185	3299.681	3304.397	3306.14313156362	3306.14313156362	3306.14313156362
ABCF1_2	ABCF1_2	3309.131	3311.735	3305.84617458883	3301.313	3309.115	3297.938	3305.84617458883	3308.816	3304.21009797875	3308.368	3308.185	3299.681	3305.84617458883	3305.84617458883	3305.84617458883	3305.84617458883
ABCF1_3	ABCF1_3	3303.14201730852	3303.14201730852	3303.14201730852	3303.14201730852	3303.14201730852	3303.14201730852	3303.14201730852	3303.14201730852	3303.14201730852	3308.368	3303.14201730852	3303.14201730852	3303.14201730852	3288.871	3306.23	3309.141
ABCF1_4	ABCF1_4	3305.70117813591	3311.735	3309.468	3305.70117813591	3305.70117813591	3305.70117813591	3305.70117813591	3308.816	3305.70117813591	3305.70117813591	3305.70117813591	3305.70117813591	3305.70117813591	3288.871	3306.23	3309.141
ABCF1_5	ABCF1_5	3309.131	3311.735	3309.468	3301.313	3309.115	3297.938	3310.406	3308.816	3308.927	3308.368	3308.185	3299.681	3306.92071575009	3306.92071575009	3306.92071575009	3306.92071575009
ABCF1_6	ABCF1_6	3309.131	3311.735	3309.468	3301.313	3309.115	3297.938	3310.406	3308.816	3308.927	3308.368	3308.185	3299.681	3306.92071575009	3306.92071575009	3306.92071575009	3306.92071575009
ABCF2	ABCF2	2848.68081488477	2778.125369329	2820.77764037324	2809.08160322554	2831.06532358324	2844.17906577704	2903.61762921598	2725.06094897876	2875.6183885936	2908.70996478049	2795.01805375163	2793.32361230926	3099.22133594385	2870.04700303855	2994.72853470577	2893.49402223856
ABCF3	ABCF3	2417.131	2419.735	2417.468	2409.313	2417.115	2405.938	2418.406	2416.816	2416.927	2416.368	2416.185	2407.681	2412.397	2396.871	2414.23	2417.141
ABCG1	ABCG1	2809.24502685892	2817.97027062471	2814.1708743102	2787.17468714407	2808.82216472978	2799.7774643063	2813.48866677018	2818.22282131681	2775.77438780374	2805.01781461196	2813.66077484309	2810.3454364223	2766.48961671185	2757.96328278186	2804.53738949499	2809.13112134412
ABCG2	ABCG2	4276.131	4278.735	4276.468	4268.313	4276.115	4264.938	4277.406	4275.816	4275.927	4275.368	4275.185	4266.681	4271.397	4255.871	4273.23	4276.141
ABCG4	ABCG4	3681.131	3459.735	3457.468	3449.313	3457.115	3445.938	3458.406	3456.816	3456.927	3680.368	3680.185	3447.681	3452.397	3436.871	3454.23	3457.141
ABCG5	ABCG5	2585.73893037237	2587.735	2585.73893037237	2585.73893037237	2585.115	2585.73893037237	2585.73893037237	2585.73893037237	2585.73893037237	2584.368	2585.73893037237	2585.73893037237	2585.73893037237	2585.73893037237	2585.73893037237	2585.73893037237
ABCG8	ABCG8	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625	2506.732625
ABHD1	ABHD1	1291.131	1293.735	1291.468	1283.313	1291.115	1279.938	1292.406	1290.816	1288.53869556522	1290.368	1290.185	1281.681	1286.397	1288.53869556522	1288.53869556522	1288.53869556522
ABHD10	ABHD10	2489.131	2491.735	2489.468	2481.313	2489.115	2477.938	2490.406	2488.816	2488.927	2488.368	2488.185	2479.681	2484.397	2468.871	2486.23	2489.141
ABHD11	ABHD11	1347.93853086641	1239.57581890409	1287.6498180276	1239.10693722775	1283.97379072292	1333.7875710811	1217.48617909193	1314.19142892872	1284.14733245939	1270.32681559517	1240.12070662018	1242.16859316579	1218.71030762716	1182.50165456182	1267.08420639727	1253.51529967623
ABHD12	ABHD12	1729.67141971649	1729.3276416071	1751.64545606268	1731.15396228294	1709.12518667347	1723.04163603642	1720.35967163449	1725.93118403376	1764.88094015621	1753.95750140362	1750.11982148245	1729.85052631884	1713.69071261017	1704.66300324415	1724.70473044261	1723.33813986997
ABHD12B	ABHD12B	1322.131	1324.735	1322.468	1314.313	1322.115	1310.938	1323.406	1321.816	1321.927	1321.368	1321.185	1312.681	1320.02611970177	1320.02611970177	1319.23	1322.141
ABHD13	ABHD13	5147.131	5149.735	5147.468	5139.313	5147.115	5135.938	5148.406	5146.816	5146.927	5146.368	5146.185	5137.681	5142.397	5126.871	5144.23	5147.141
ABHD14A	ABHD14A	907.131	909.735	907.468	899.313	907.115	895.938	908.406	906.816	906.927	906.368	906.185	897.681	902.397	886.871	904.23	907.141
ABHD14B	ABHD14B	1661.131	1663.735	1661.468	1653.313	1661.115	1649.938	1662.406	1660.816	1660.927	1660.368	1660.185	1651.681	1656.397	1640.871	1658.23	1661.141
ABHD15	ABHD15	2584.131	2586.735	2584.468	2576.313	2584.115	2572.938	2585.406	2583.816	2583.927	2583.368	2583.185	2574.681	2579.397	2563.871	2581.23	2584.141
ABHD2	ABHD2	8583.42819044032	8587.40122251437	8584.44323973393	8586.67773870727	8585.13065576545	8568.938	8591.14035538389	8593.71037961255	8583.59173295343	8586.87367469325	8593.43592357931	8591.41655372427	8575.397	8562.96712612991	8577.23	8580.141
ABHD3	ABHD3	1909.131	1911.735	1909.468	1901.313	1909.115	1897.938	1910.406	1908.816	1908.927	1908.368	1908.185	1899.681	1904.397	1888.871	1906.23	1909.141
ABHD4	ABHD4	2354.131	2356.735	2354.468	2346.313	2354.115	2342.938	2355.406	2353.816	2353.927	2353.368	2353.185	2344.681	2349.397	2333.871	2351.23	2354.141
ABHD5	ABHD5	5198.131	5200.735	5198.468	5190.313	5198.115	5186.938	5199.406	5197.816	5197.927	5197.368	5197.185	5188.681	5193.397	5177.871	5195.23	5198.141
ABHD6	ABHD6	2238.131	2240.735	2238.468	2230.313	2238.115	2226.938	2239.406	2237.816	2237.927	2237.368	2237.185	2228.681	2233.397	2217.871	2235.23	2238.141
ABHD8	ABHD8	1935.131	1937.735	1935.468	1927.313	1935.115	1923.938	1936.406	1934.816	1934.927	1934.368	1934.185	1925.681	1930.397	1914.871	1932.23	1935.141
ABI1	ABI1	3413.79831234897	3416.99123865991	3414.66472272887	3409.56716785691	3416.78429857442	3412.78665018955	3417.24629085863	3417.32216817791	3415.04260789879	3416.77960886661	3415.85047630635	3411.10268920747	3410.88690344084	3398.37784929633	3408.56613348857	3420.50799705675
ABI2	ABI2	6325.131	6327.735	6325.468	6317.313	6325.115	6313.938	6326.406	6324.816	6324.927	6324.368	6324.185	6315.681	6320.397	6304.871	6322.23	6325.141
ABI3	ABI3	1936.131	1931.0601278891	1936.468	1931.0601278891	1936.115	1931.0601278891	1931.0601278891	1931.0601278891	1931.0601278891	1931.0601278891	1935.185	1926.681	1931.0601278891	1915.871	1931.0601278891	1931.0601278891
ABI3BP	ABI3BP	4318.131	4320.735	4318.468	4310.313	4318.115	4306.938	4319.406	4317.816	4317.927	4317.368	4317.185	4308.681	4313.397	4297.871	4315.23	4318.141
ABL1	ABL1	5308.75316277693	5319.16939131995	5289.91395769996	5298.78933426345	5290.32947290556	5297.00347476616	5293.62807176269	5298.07011958947	5301.16410195376	5283.18087106415	5287.30190172088	5280.89618484226	5291.18467611264	5271.81414896563	5273.67541141185	5292.77989999592
ABL2	ABL2	11403.6452469233	11331.5118708548	11384.9040618657	11179.4901500862	11338.9895650204	11323.3623095075	10978.0984694891	11646.7047127408	11082.9699221185	11252.1225464403	11297.8193427852	10729.594906106	10999.4083178987	11442.0727272474	11309.724622485	10618.3436079511
ABLIM1	ABLIM1	7052.20180634233	7119.47756909028	7102.47489840063	7064.91972351784	7136.91354079863	7100.27761663112	7207.284099975	7118.17427043472	7102.51129984258	7115.18774822789	7209.05054646907	7195.62390246352	7109.69224309651	7094.95389619818	7107.95284672282	7102.13483444165
ABLIM2	ABLIM2	3234.131	3091.47285582246	3091.47285582246	3091.47285582246	3234.115	3222.938	3349.406	3233.816	3347.927	3307.42690781546	3253.80757164514	3224.681	3091.47285582246	2401.871	2419.23	3091.47285582246
ABLIM3	ABLIM3	4180.131	4182.735	4180.468	4172.313	4180.115	4168.938	4181.406	4179.816	4179.927	4179.368	4179.185	4170.681	4175.397	4159.871	4177.23	4180.141
ABO	ABO	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625	1418.732625
ABP1	ABP1	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625	2269.732625
ABR	ABR	5011.38122409741	4987.43183250327	4990.46965527466	5006.83038087118	5015.33855305108	5030.01518854676	5004.75608848464	5032.68309637407	5033.40650548282	4996.1374999069	5013.05155795271	5024.83846067027	4972.49646822295	5011.73658466816	5007.71147139902	5035.27602186811
ABRA	ABRA	2599.131	2601.735	2596.10421783083	2596.10421783083	2596.10421783083	2596.10421783083	2600.406	2596.10421783083	2596.10421783083	2598.368	2598.185	2596.10421783083	2596.10421783083	2578.871	2596.10421783083	2596.10421783083
ABT1	ABT1	2100.131	2102.735	2100.468	2092.313	2100.115	2088.938	2101.406	2099.816	2099.927	2099.368	2099.185	2090.681	2095.397	2079.871	2097.23	2100.141
ABTB1	ABTB1	1808.07899691206	1809.21333480894	1814.4351665608	1801.43079788322	1812.60777072122	1800.66471605264	1818.30868554021	1808.44289629404	1812.45250475424	1806.21940099448	1808.06631141322	1809.05744483104	1806.73618735145	1788.9675540126	1804.63652264402	1806.56897309809
ABTB2	ABTB2	3994.131	3996.735	3994.468	3986.313	3994.115	3982.938	3995.406	3993.816	3993.927	3993.368	3993.185	3984.681	3989.397	3973.871	3991.23	3994.141
ACAA1	ACAA1	1673.30145623252	1673.0001762499	1672.2634692866	1657.45252854679	1674.77032958409	1667.0745933362	1679.15463729173	1684.23125322147	1677.80525203287	1680.420893144	1679.5013121372	1653.04681767316	1680.82095346488	1664.07441460089	1674.59117125155	1682.41068181589
ACAA2	ACAA2	1779.131	1781.735	1779.468	1771.313	1779.115	1767.938	1780.406	1778.816	1778.927	1778.368	1778.185	1769.681	1774.397	1758.871	1776.23	1779.141
ACACA	ACACA	9580.9397589271	9667.14530190772	9574.8746005687	9519.09421043731	9688.20621587133	9608.90856385951	9676.1430789662	9661.68166053244	9602.91519144245	9614.23983963608	9702.69086005301	9544.7615003979	9559.81321826012	9557.99026757878	9644.59272245246	9585.68194759034
ACACB	ACACB	9095.131	9097.735	9095.468	9087.313	9095.115	9083.938	9096.406	9094.816	9094.927	9094.368	9094.185	9085.681	9090.397	9074.871	9092.23	9095.141
ACAD10	ACAD10	3861.83263414423	3841.94398019542	3801.17097880609	3840.60298552866	3844.80164554989	3869.62717715731	3851.01155088338	3865.17317689009	3886.35295861154	3809.21695266282	3811.16697784741	3865.86590313989	3747.71670874235	3773.4147778599	3789.57907385132	3863.96210361125
ACAD11	ACAD11	3401.131	3403.735	3401.468	3393.313	3401.115	3389.938	3402.406	3400.816	3400.927	3400.368	3400.185	3391.681	3396.397	3380.871	3398.23	3401.141
ACAD8	ACAD8	2049.131	2051.735	2049.468	2041.313	2049.115	2037.938	2050.406	2048.816	2048.927	2048.368	2048.185	2039.681	2044.397	2028.871	2046.23	2049.141
ACAD9	ACAD9	2420.131	2422.735	2420.468	2412.313	2420.115	2408.938	2421.406	2419.816	2419.927	2419.368	2419.185	2410.681	2415.397	2399.871	2417.23	2420.141
ACADL	ACADL	2337.131	2339.735	2337.468	2329.313	2337.115	2325.938	2338.406	2336.816	2336.927	2336.368	2336.185	2327.681	2332.397	2316.871	2334.23	2337.141
